DeId
String,int,bool,bool,Action,Action,Action,Action,Action,Action,Action,Action,Action,Action
ContentTime,0x00080033,N,Y,Z/D,,,,,K,C,,,
ContextGroupExtensionCreatorUID,0x0008010D,N,Y,U,,K,,,,,,,
ContrastBolusAgent,0x00180010,N,Y,Z/D,,,,,,,C,,
ContributionDescription,0x0018A003,N,Y,X,,,,,,,C,,
CountryofResidence,0x00102150,N,N,X,,,,,,,,,
CreatorVersionUID,0x00089123,N,Y,U,,K,,,,,,,
CurrentPatientLocation,0x00380300,N,N,X,,,,,,,,,
CurveData,0x50xxxxxx,Y,N,X,,,,,,,,,C
CurveDate,0x00080025,Y,Y,X,,,,,K,C,,,
CurveTime,0x00080035,Y,Y,X,,,,,K,C,,,
CustodialOrganizationSequence,0x0040A07C,N,Y,X,,,,,,,,,
DataSetTrailingPadding,0xFFFCFFFC,N,Y,X,,,,,,,,,
DerivationDescription,0x00082111,N,Y,X,,,,,,,C,,
DetectorID,0x0018700A,N,Y,X/D,,,K,,,,,,
DeviceSerialNumber,0x00181000,N,Y,X/Z/D,,,K,,,,,,
DeviceUID,0x00181002,N,Y,U,,K,K,,,,,,
DigitalSignatureUID,0x04000100,N,Y,X,,,,,,,,,
DigitalSignaturesSequence,0xFFFAFFFA,N,Y,X,,,,,,,,,
DimensionOrganizationUID,0x00209164,N,Y,U,,K,,,,,,,
DischargeDiagnosisDescription,0x00380040,Y,N,X,,,,,,,C,,
DistributionAddress,0x4008011A,Y,N,X,,,,,,,,,
DistributionName,0x40080119,Y,N,X,,,,,,,,,
DoseReferenceUID,0x300A0013,N,Y,U,,K,,,,,,,
EthnicGroup,0x00102160,N,Y,X,,,,K,,,,,
FailedSOPInstanceUIDList,0x00080058,N,N,U,,K,,,,,,,
FiducialUID,0x0070031A,N,Y,U,,K,,,,,,,
FillerOrderNumber/ImagingServiceRequest,0x00402017,N,Y,Z,,,,,,,,,
FrameComments,0x00209158,N,Y,X,,,,,,,C,,
FrameofReferenceUID,0x00200052,N,Y,U,,K,,,,,,,
GantryID,0x00181008,N,Y,X,,,K,,,,,,
GeneratorID,0x00181005,N,Y,X,,,K,,,,,,
GraphicAnnotationSequence,0x00700001,N,Y,D,,,,,,,,,C
HumanPerformersName,0x00404037,N,N,X,,,,,,,,,
HumanPerformersOrganization,0x00404036,N,N,X,,,,,,,,,
IconImageSequence0xseeNote12,0x00880200,N,Y,X,,,,,,,,,
IdentifyingComments,0x00084000,Y,N,X,,,,,,,C,,
ImageComments,0x00204000,N,Y,X,,,,,,,C,,
ImagePresentationComments,0x00284000,Y,N,X,,,,,,,,,
ImagingServiceRequestComments,0x00402400,N,N,X,,,,,,,C,,
Impressions,0x40080300,Y,N,X,,,,,,,C,,
InstanceCreatorUID,0x00080014,N,Y,U,,K,,,,,,,
InstitutionAddress,0x00080081,N,Y,X,,,,,,,,,
InstitutionCodeSequence,0x00080082,N,Y,X/Z/D,,,,,,,,,
InstitutionName,0x00080080,N,Y,X/Z/D,,,,,,,,,
InstitutionalDepartmentName,0x00081040,N,Y,X,,,,,,,,,
InsurancePlanIdentification,0x00101050,Y,N,X,,,,,,,,,
IntendedRecipientsofResultsIdentificationSequence,0x00401011,N,N,X,,,,,,,,,
InterpretationApproverSequence,0x40080111,Y,N,X,,,,,,,,,
InterpretationAuthor,0x4008010C,Y,N,X,,,,,,,,,
InterpretationDiagnosisDescription,0x40080115,Y,N,X,,,,,,,C,,
InterpretationIDIssuer,0x40080202,Y,N,X,,,,,,,,,
InterpretationRecorder,0x40080102,Y,N,X,,,,,,,,,
InterpretationText,0x4008010B,Y,N,X,,,,,,,C,,
InterpretationTranscriber,0x4008010A,Y,N,X,,,,,,,,,
IrradiationEventUID,0x00083010,N,Y,U,,K,,,,,,,
IssuerofAdmissionID,0x00380011,N,Y,X,,,,,,,,,
IssuerofPatientID,0x00100021,N,Y,X,,,,,,,,,
IssuerofServiceEpisodeID,0x00380061,N,Y,X,,,,,,,,,
LargePaletteColorLookupTableUID,0x00281214,Y,N,U,,K,,,,,,,
LastMenstrualDate,0x001021D0,N,N,X,,,,,K,C,,,
MAC,0x04000404,N,Y,X,,,,,,,,,
MediaStorageSOPInstanceUID,0x00020003,N,N,U,,K,,,,,,,
MedicalAlerts,0x00102000,N,N,X,,,,,,,C,,
MedicalRecordLocator,0x00101090,N,N,X,,,,,,,,,
MilitaryRank,0x00101080,N,N,X,,,,,,,,,
ModifiedAttributesSequence,0x04000550,N,N,X,,,,,,,,,
ModifiedImageDescription,0x00203406,Y,N,X,,,,,,,,,
ModifyingDeviceID,0x00203401,Y,N,X,,,,,,,,,
ModifyingDeviceManufacturer,0x00203404,Y,N,X,,,,,,,,,
NameofPhysician0xsReadingStudy,0x00081060,N,Y,X,,,,,,,,,
NamesofIntendedRecipientofResults,0x00401010,N,N,X,,,,,,,,,
Occupation,0x00102180,N,Y,X,,,,,,,C,,
Operators'IdentificationSequence,0x00081072,N,Y,X/D,,,,,,,,,
Operators'Name,0x00081070,N,Y,X/Z/D,,,,,,,,,
OriginalAttributesSequence,0x04000561,N,Y,X,,,,,,,,,
OrderCallbackPhoneNumber,0x00402010,N,N,X,,,,,,,,,
OrderEnteredBy,0x00402008,N,N,X,,,,,,,,,
OrderEntererLocation,0x00402009,N,N,X,,,,,,,,,
OtherPatientIDs,0x00101000,N,Y,X,,,,,,,,,
OtherPatientIDsSequence,0x00101002,N,Y,X,,,,,,,,,
OtherPatientNames,0x00101001,N,Y,X,,,,,,,,,
OverlayComments,0x60xx4000,Y,N,X,,,,,,,,,C
OverlayData,0x60xx3000,N,Y,X,,,,,,,,,C
OverlayDate,0x00080024,Y,Y,X,,,,,K,C,,,
OverlayTime,0x00080034,Y,Y,X,,,,,K,C,,,
PaletteColorLookupTableUID,0x00281199,N,Y,U,,K,,,,,,,
ParticipantSequence,0x0040A07A,N,Y,X,,,,,,,,,
PatientAddress,0x00101040,N,N,X,,,,,,,,,
PatientComments,0x00104000,N,Y,X,,,,,,,C,,
PatientID,0x00100020,N,Y,Z,,,,,,,,,
PatientSexNeutered,0x00102203,N,Y,X/Z,,,,K,,,,,
PatientState,0x00380500,N,N,X,,,,C,,,C,,
PatientTransportArrangements,0x00401004,N,N,X,,,,,,,,,
Patient'sAge,0x00101010,N,Y,X,,,,K,,,,,
Patient'sBirthDate,0x00100030,N,Y,Z,,,,,,,,,
Patient'sBirthName,0x00101005,N,N,X,,,,,,,,,
Patient'sBirthTime,0x00100032,N,Y,X,,,,,,,,,
Patient'sInstitutionResidence,0x00380400,N,N,X,,,,,,,,,
Patient'sInsurancePlanCodeSequence,0x00100050,,,X,,,,,,,,,
Patient'sMother'sBirthName,0x00101060,N,N,X,,,,,,,,,
Patient'sName,0x00100010,N,Y,Z,,,,,,,,,
Patient'sPrimaryLanguageCodeSequence,0x00100101,,,X,,,,,,,,,
Patient'sPrimaryLanguageModifierCodeSequence,0x00100102,,,X,,,,,,,,,
Patient'sReligiousPreference,0x001021F0,N,N,X,,,,,,,,,
Patient'sSex,0x00100040,N,Y,Z,,,,K,,,,,
Patient'sSize,0x00101020,N,Y,X,,,,K,,,,,
Patient'sTelephoneNumbers,0x00102154,N,N,X,,,,,,,,,
Patient'sWeight,0x00101030,N,Y,X,,,,K,,,,,
PerformedLocation,0x00400243,N,N,X,,,,,,,,,
PerformedProcedureStepDescription,0x00400254,N,Y,X,,,,,,,C,,
PerformedProcedureStepEndDate,0x00400250,N,Y,X,,,,,K,C,,,
PerformedProcedureStepEndTime,0x00400251,N,Y,X,,,,,K,C,,,
PerformedProcedureStepID,0x00400253,N,Y,X,,,,,,,,,
PerformedProcedureStepStartDate,0x00400244,N,Y,X,,,,,K,C,,,
PerformedProcedureStepStartTime,0x00400245,N,Y,X,,,,,K,C,,,
PerformedStationAETitle,0x00400241,N,N,X,,,K,,,,,,
PerformedStationGeographicLocationCodeSequence,0x00404030,N,N,X,,,K,,,,,,
PerformedStationName,0x00400242,N,N,X,,,K,,,,,,
PerformedStationNameCodeSequence,0x00404028,N,N,X,,,K,,,,,,
PerformingPhysicianIdentificationSequence,0x00081052,N,Y,X,,,,,,,,,
PerformingPhysicians'Name,0x00081050,N,Y,X,,,,,,,,,
PersonAddress,0x00401102,N,Y,X,,,,,,,,,
PersonIdentificationCodeSequence,0x00401101,N,Y,D,,,,,,,,,
PersonName,0x0040A123,N,Y,D,,,,,,,,,
PersonTelephoneNumbers,0x00401103,N,Y,X,,,,,,,,,
PhysicianApprovingInterpretation,0x40080114,Y,N,X,,,,,,,,,
Physician0xsReadingStudyIdentificationSequence,0x00081062,N,Y,X,,,,,,,,,
Physician0xsofRecord,0x00081048,N,Y,X,,,,,,,,,
Physician0xsofRecordIdentificationSequence,0x00081049,N,Y,X,,,,,,,,,
PlacerOrderNumber/ImagingServiceRequest,0x00402016,N,Y,Z,,,,,,,,,
PlateID,0x00181004,N,Y,X,,,K,,,,,,
Pre-Medication,0x00400012,N,N,X,,,,C,,,,,
PregnancyStatus,0x001021C0,N,N,X,,,,K,,,,,
Privateattributes,0xggggeeeewhereggggisodd,N,N,X,C,,,,,,,,
ProtocolName,0x00181030,N,Y,X/D,,,,,,,C,,
ReasonfortheImagingServiceRequest,0x00402001,Y,N,X,,,,,,,C,,
ReasonforStudy,0x00321030,Y,N,X,,,,,,,C,,
ReferencedDigitalSignatureSequence,0x04000402,N,Y,X,,,,,,,,,
ReferencedFrameofReferenceUID,0x30060024,N,Y,U,,K,,,,,,,
ReferencedGeneralPurposeScheduledProcedureStepTransactionUID,0x00404023,Y,N,U,,K,,,,,,,
ReferencedImageSequence,0x00081140,N,Y,X/Z/U*,,K,,,,,,,
ReferencedPatientAliasSequence,0x00380004,N,N,X,,,,,,,,,
ReferencedPatientSequence,0x00081120,N,Y,X,,X,,,,,,,
ReferencedPerformedProcedureStepSequence,0x00081111,N,Y,X/Z/D,,K,,,,,,,
ReferencedSOPInstanceMACSequence,0x04000403,N,Y,X,,,,,,,,,
ReferencedSOPInstanceUID,0x00081155,N,Y,U,,K,,,,,,,
ReferencedSOPInstanceUIDinFile,0x00041511,N,N,U,,K,,,,,,,
ReferencedStudySequence,0x00081110,N,Y,X/Z,,K,,,,,,,
ReferringPhysician'sAddress,0x00080092,N,N,X,,,,,,,,,
ReferringPhysician'sIdentificationSequence,0x00080096,N,Y,X,,,,,,,,,
ReferringPhysician'sName,0x00080090,N,Y,Z,,,,,,,,,
ReferringPhysician'sTelephoneNumbers,0x00080094,N,N,X,,,,,,,,,
RegionofResidence,0x00102152,N,N,X,,,,,,,,,
RelatedFrameofReferenceUID,0x300600C2,N,Y,U,,K,,,,,,,
RequestAttributesSequence,0x00400275,N,Y,X,,,,,,,C,,
RequestedContrastAgent,0x00321070,N,N,X,,,,,,,C,,
RequestedProcedureComments,0x00401400,N,N,X,,,,,,,C,,
RequestedProcedureDescription,0x00321060,N,Y,X/Z,,,,,,,C,,
RequestedProcedureID,0x00401001,N,N,X,,,,,,,,,
RequestedProcedureLocation,0x00401005,N,N,X,,,,,,,,,
RequestedSOPInstanceUID,0x00001001,N,N,U,,K,,,,,,,
RequestingPhysician,0x00321032,N,N,X,,,,,,,,,
RequestingService,0x00321033,N,N,X,,,,,,,,,
ResponsibleOrganization,0x00102299,N,Y,X,,,,,,,,,
ResponsiblePerson,0x00102297,N,Y,X,,,,,,,,,
ResultsComments,0x40084000,Y,N,X,,,,,,,C,,
ResultsDistributionListSequence,0x40080118,Y,N,X,,,,,,,,,
ResultsIDIssuer,0x40080042,Y,N,X,,,,,,,,,
ReviewerName,0x300E0008,N,Y,X/Z,,,,,,,,,
ScheduledHumanPerformersSequence,0x00404034,N,N,X,,,,,,,,,
ScheduledPatientInstitutionResidence,0x0038001E,Y,N,X,,,,,,,,,
ScheduledPerformingPhysicianIdentificationSequence,0x0040000B,N,N,X,,,,,,,,,
ScheduledPerformingPhysicianName,0x00400006,N,N,X,,,,,,,,,
ScheduledProcedureStepEndDate,0x00400004,N,N,X,,,,,K,C,,,
ScheduledProcedureStepEndTime,0x00400005,N,N,X,,,,,K,C,,,
ScheduledProcedureStepDescription,0x00400007,N,Y,X,,,,,,,C,,
ScheduledProcedureStepLocation,0x00400011,N,N,X,,,K,,,,,,
ScheduledProcedureStepStartDate,0x00400002,N,N,X,,,,,K,C,,,
ScheduledProcedureStepStartTime,0x00400003,N,N,X,,,,,K,C,,,
ScheduledStationAETitle,0x00400001,N,N,X,,,K,,,,,,
ScheduledStationGeographicLocationCodeSequence,0x00404027,N,N,X,,,K,,,,,,
ScheduledStationName,0x00400010,N,N,X,,,K,,,,,,
ScheduledStationNameCodeSequence,0x00404025,N,N,X,,,K,,,,,,
ScheduledStudyLocation,0x00321020,Y,N,X,,,K,,,,,,
ScheduledStudyLocationAETitle,0x00321021,Y,N,X,,,K,,,,,,
SeriesDate,0x00080021,N,Y,X/D,,,,,K,C,,,
SeriesDescription,0x0008103E,N,Y,X,,,,,,,C,,
SeriesInstanceUID,0x0020000E,N,Y,U,,K,,,,,,,
SeriesTime,0x00080031,N,Y,X/D,,,,,K,C,,,
ServiceEpisodeDescription,0x00380062,N,Y,X,,,,,,,C,,
ServiceEpisodeID,0x00380060,N,Y,X,,,,,,,,,
SmokingStatus,0x001021A0,N,N,X,,,,K,,,,,
SOPInstanceUID,0x00080018,N,Y,U,,K,,,,,,,
SourceImageSequence,0x00082112,N,Y,X/Z/U*,,K,,,,,,,
SpecialNeeds,0x00380050,N,N,X,,,,C,,,,,
StationName,0x00081010,N,Y,X/Z/D,,,K,,,,,,
StorageMediaFile-setUID,0x00880140,N,Y,U,,K,,,,,,,
StudyComments,0x00324000,Y,N,X,,,,,,,C,,
StudyDate,0x00080020,N,Y,Z,,,,,K,C,,,
StudyDescription,0x00081030,N,Y,X,,,,,,,C,,
StudyID,0x00200010,N,Y,Z,,,,,,,,,
StudyIDIssuer,0x00320012,Y,N,X,,,,,,,,,
StudyInstanceUID,0x0020000D,N,Y,U,,K,,,,,,,
StudyTime,0x00080030,N,Y,Z,,,,,K,C,,,
SynchronizationFrameofReferenceUID,0x00200200,N,Y,U,,K,,,,,,,
TemplateExtensionCreatorUID,0x0040DB0D,Y,N,U,,K,,,,,,,
TemplateExtensionOrganizationUID,0x0040DB0C,Y,N,U,,K,,,,,,,
TextComments,0x40004000,Y,N,X,,,,,,,,,
TextString,0x20300020,N,N,X,,,,,,,,,
TimezoneOffsetFromUTC,0x00080201,N,Y,X,,,,,K,C,,,
TopicAuthor,0x00880910,Y,N,X,,,,,,,,,
TopicKeywords,0x00880912,Y,N,X,,,,,,,,,
TopicSubject,0x00880906,Y,N,X,,,,,,,,,
TopicTitle,0x00880904,Y,N,X,,,,,,,,,
TransactionUID,0x00081195,N,N,U,,K,,,,,,,
UID,0x0040A124,N,Y,U,,,,,,,,,
VerifyingObserverIdentificationCodeSequence,0x0040A088,N,Y,Z,,,,,,,,,
VerifyingObserverName,0x0040A075,N,Y,D,,,,,,,,,
VerifyingObserverSequence,0x0040A073,N,Y,D,,,,,,,,,
VerifyingOrganization,0x0040A027,N,Y,X,,,,,,,,,
VisitComments,0x00384000,N,N,X,,,,,,,C,,
