Data Element|Private Creator|VR|VM|Meaning
(0099,xx02)|NQHeader|UI|1|Analyzed Series UID
(0099,xx04)|NQHeader|SS|1|Return Code
(0099,xx05)|NQHeader|LT|1|Return Message
(0099,xx10)|NQHeader|FL|1|MI
(0099,xx20)|NQHeader|SH|1|Units
(0099,xx21)|NQHeader|FL|1|ICV
(0199,xx01)|NQLeft|FL|1|Left Cortical White Matter
(0199,xx02)|NQLeft|FL|1|Left Cortical Gray Matter
(0199,xx03)|NQLeft|FL|1|Left 3rd Ventricle
(0199,xx04)|NQLeft|FL|1|Left 4th Ventricle
(0199,xx05)|NQLeft|FL|1|Left 5th Ventricle
(0199,xx06)|NQLeft|FL|1|Left Lateral Ventricle
(0199,xx07)|NQLeft|FL|1|Left Inferior Lateral Ventricle
(0199,xx08)|NQLeft|FL|1|Left Inferior CSF
(0199,xx09)|NQLeft|FL|1|Left Cerebellar White Matter
(0199,xx0a)|NQLeft|FL|1|Left Cerebellar Gray Matter
(0199,xx0b)|NQLeft|FL|1|Left Hippocampus
(0199,xx0c)|NQLeft|FL|1|Left Amygdala
(0199,xx0d)|NQLeft|FL|1|Left Thalamus
(0199,xx0e)|NQLeft|FL|1|Left Caudate
(0199,xx0f)|NQLeft|FL|1|Left Putamen
(0199,xx10)|NQLeft|FL|1|Left Pallidum
(0199,xx11)|NQLeft|FL|1|Left Ventral Diencephalon
(0199,xx12)|NQLeft|FL|1|Left Nucleus Accumbens
(0199,xx13)|NQLeft|FL|1|Left Brain Stem
(0199,xx14)|NQLeft|FL|1|Left Exterior CSF
(0199,xx15)|NQLeft|FL|1|Left WM Hypo
(0199,xx16)|NQLeft|FL|1|Left Other
(0299,xx01)|NQRight|FL|1|Right Cortical White Matter
(0299,xx02)|NQRight|FL|1|Right Cortical Gray Matter
(0299,xx03)|NQRight|FL|1|Right 3rd Ventricle
(0299,xx04)|NQRight|FL|1|Right 4th Ventricle
(0299,xx05)|NQRight|FL|1|Right 5th Ventricle
(0299,xx06)|NQRight|FL|1|Right Lateral Ventricle
(0299,xx07)|NQRight|FL|1|Right Inferior Lateral Ventricle
(0299,xx08)|NQRight|FL|1|Right Inferior CSF
(0299,xx09)|NQRight|FL|1|Right Cerebellar White Matter
(0299,xx0a)|NQRight|FL|1|Right Cerebellar Gray Matter
(0299,xx0b)|NQRight|FL|1|Right Hippocampus
(0299,xx0c)|NQRight|FL|1|Right Amygdala
(0299,xx0d)|NQRight|FL|1|Right Thalamus
(0299,xx0e)|NQRight|FL|1|Right Caudate
(0299,xx0f)|NQRight|FL|1|Right Putamen
(0299,xx10)|NQRight|FL|1|Right Pallidum
(0299,xx11)|NQRight|FL|1|Right Ventral Diencephalon
(0299,xx12)|NQRight|FL|1|Right Nucleus Accumbens
(0299,xx13)|NQRight|FL|1|Right Brain Stem
(0299,xx14)|NQRight|FL|1|Right Exterior CSF
(0299,xx15)|NQRight|FL|1|Right WM Hypo
(0299,xx16)|NQRight|FL|1|Right Other
(2005,xx0D)|Philips MR Imaging DD 001|FL|1|Scale Intercept
(2005,xx0E)|Philips MR Imaging DD 001|FL|1|Scale Slope
